REPOSITORY                                                                       TAG                                                     IMAGE ID            CREATED             SIZE
nvidia/cuda                                                                      10.2-base-ubuntu18.04                                   a6f6c250465c        13 months ago       108MB
nvidia/cuda                                                                      9.0-base                                                3c57055e68a2        13 months ago       140MB
nvidia/cuda                                                                      10.1-base-ubuntu18.04                                   3b55548ae91f        13 months ago       106MB
python                                                                           3.7.5                                                   fbf9f709ca9f        13 months ago       917MB
python                                                                           3.7-alpine3.10                                          8922d588eec6        13 months ago       98.4MB
centos                                                                           centos7                                                 5e35e350aded        13 months ago       203MB
astefanutti/decktape                                                             latest                                                  7b7f71c96ef2        14 months ago       432MB
gitlab-registry.cern.ch/authoring/documentation/mkdocs                           stable                                                  ccb5349a609f        14 months ago       127MB
gitlab-registry.cern.ch/atlas-physics-office/gitlab-integration/texlive          2017                                                    96b1926ece6e        14 months ago       3.29GB
python                                                                           latest                                                  d6a7b0694364        14 months ago       932MB
continuumio/miniconda3                                                           latest                                                  406f2b43ea59        14 months ago       430MB
frolvlad/alpine-python3                                                          latest                                                  72f61fedfb59        14 months ago       57.3MB
tensorflow/tensorflow                                                            latest-gpu                                              6cedbf5b8ce4        15 months ago       3.4GB
unibeautify/uncrustify                                                           latest                                                  52d0de5d91ed        15 months ago       250MB
unibeautify/autopep8                                                             latest                                                  335ee54f0ce9        15 months ago       106MB
unibeautify/beautysh                                                             latest                                                  5cbbc8bbb720        15 months ago       105MB
docker                                                                           19.03.2                                                 b40e5afd78f5        16 months ago       216MB
illinoismla/damla-env                                                            latest                                                  10e3712031bf        16 months ago       9.79GB
matthewfeickert/docker-python3-ubuntu                                            3.7.4                                                   2d7528d45c3f        17 months ago       944MB
atlasml/atlasml-base                                                             py-3.7.2                                                16924462c747        18 months ago       6.38GB
atlasml/ml-base                                                                  latest                                                  98136730d7c6        18 months ago       2.94GB
matthewfeickert/latex-docker                                                     latest                                                  854bcd00f481        18 months ago       6.61GB
cern/slc6-base                                                                   latest                                                  63453d0a9b55        19 months ago       222MB
astefanutti/decktape                                                             2.9.2                                                   5d49735bc29e        22 months ago       394MB
matthewfeickert/skopeo-docker                                                    skopeo0.1.35                                            365b40c15180        22 months ago       1.12GB
fedora                                                                           27                                                      f89698585456        22 months ago       236MB
hello-world                                                                      latest                                                  fce289e99eb9        2 years ago         1.84kB
yadage/tutorial-uppermaker                                                       latest                                                  6a9f6198e755        2 years ago         78.2MB
yadage/tutorial-messagewriter                                                    latest                                                  23aaaec93275        2 years ago         153MB
nvidia/opencl                                                                    runtime-ubuntu18.04                                     69e5134dc483        2 years ago         85.1MB
alectolytic/scipy                                                                latest                                                  00f11a79976b        2 years ago         276MB
rootproject/root-ubuntu16                                                        6.12                                                    b16855622aac        2 years ago         1.6GB
rootproject/root-ubuntu16                                                        latest                                                  b16855622aac        2 years ago         1.6GB
pythiatools/pythiadire                                                           1.1.0                                                   02bf46448bd7        2 years ago         3.81GB
lukasheinrich/generic_madgraphpythiadelphes                                      latest                                                  f025e66abd97        4 years ago         5.03GB
centurylink/dockerfile-from-image                                                latest                                                  970eaf375dfd        5 years ago         19.2MB
